"time","Litter","CWD","Organic","DOM","MIC","P","L","A","M","B","Detritivore","Predator","Scenario","Run","Run2","PARS","YSTABLE"
"92","44.1053165926233","341.509987983586","681.30916845656","5.21468265651126","0.112170971232029","98.4539623001125","4.19761252673875","266.375113057599","771.462802649339","7.21908394353827","0.149618238835674","0.104357404371317","Full","23909013","836106",NA,NA
"93","43.6245381210329","341.683087787924","681.596436468512","5.30555529561993","0.112076008829894","98.4382634274139","4.20222522177322","266.49848336657","771.469898350513","7.25035144172415","0.149639265740303","0.104357593643351","Full","23909013","836106",NA,NA
"94","43.1487362774952","341.850852429128","681.867817983981","5.39878673092074","0.111987829718133","98.4151471264022","4.20635648792084","266.619911188716","771.47902938363","7.28219616283731","0.1496601647243","0.104357790532354","Full","23909013","836106",NA,NA
"95","42.6778565394053","342.01318934032","682.123189222254","5.49440407210256","0.111906489919213","98.3845490490432","4.20992854420043","266.739287916387","771.490215980618","7.31456365286198","0.149680929605962","0.104357994986144","Full","23909013","836106",NA,NA
"96","42.2118451961765","342.17000638041","682.362426898742","5.59243455023108","0.11183204849821","98.346408849132","4.21286422369699","266.856506401762","771.503474625586","7.34739733250257","0.149701554105453","0.104358206950273","Full","23909013","836106",NA,NA
"97","41.7506493466331","342.321211950636","682.585408471049","5.69290544811575","0.111764567640367","98.3006706133629","4.21508751273524","266.971461103395","771.518817986702","7.38063846772635","0.149722031845696","0.104358426367995","Full","23909013","836106",NA,NA
"98","41.2942168963284","342.466715115638","682.792012393797","5.79584403094607","0.111704112684446","98.2472833133156","4.21652415331771","267.084048234719","771.536254850981","7.41422614663896","0.149742356353405","0.104358653180228","Full","23909013","836106",NA,NA
"99","40.8424965547883","342.606425729112","682.982118382192","5.90127747687445","0.111650752105676","98.1862012772834","4.21710230376845","267.194165914655","771.555790062233","7.44809726517885","0.149762521060272","0.104358887325523","Full","23909013","836106",NA,NA
"100","40.3954378326788","342.740254564073","683.155607684407","6.00923280717232","0.111604557442144","98.1173846805254","4.21675324993065","267.301714320426","771.577424462492","7.48218652441163","0.149782519304305","0.104359128740031","Full","23909013","836106",NA,NA
"1","117.372387870044","313.8545747089","599.690182708126","10.93735877359","0.141307624981562","79.0996523233671","4.74089569794492","258.614731220526","771.54047884653","9.22204318167998","0.147696165182283","0","NoPred","23909013","836106",NA,NA
